Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Feces	Feces	Feces	Feces	Feces	Mucosa	Mucosa	Mucosa	Mucosa	Mucosa	Tumor	Tumor	Tumor	Tumor	Tumor
fe97c0f5687f08c0701faadb7f7d6cb5	1.0	1.0	12.0	68.75	248.0	1.0	1.0	41.0	364.5	905.0	1.0	1.0	41.5	146.5	375.0
72f64e85392f13ecee7d26ba5fd93335	1.0	1.0	1.0	1.0	22.0	1.0	1.0	1.0	1.0	1881.0	1.0	1.0	1.0	1.0	493.0
6ba1a63b03ed1667ddedc0813b737f0d	1.0	71.0	234.5	507.5	890.0	1.0	1.0	14.0	45.0	89.0	1.0	1.0	25.5	50.75	120.0
3b539f1ec4daa35cb1585bfc194c1cdd	1.0	1.0	1.0	1.0	368.0	1.0	1.0	1.0	1.0	1091.0	1.0	1.0	1.0	1.0	833.0
7d7fbf3ca6e77e4ad6c0cecfbcc1689b	1.0	1.0	1.0	54.25	429.0	1.0	1.0	1.0	151.75	729.0	1.0	1.0	1.0	196.75	469.0
a8574a9e2c15d9d41eb34e130f2e779d	1.0	1.0	1.0	1.0	1108.0	1.0	1.0	1.0	1.0	615.0	1.0	1.0	1.0	1.0	411.0
4a8a9f963e44bf08225fa5690c51fce9	1.0	49.25	183.5	224.75	372.0	1.0	2.25	38.5	88.25	443.0	1.0	11.75	37.0	77.25	338.0
39588ae5a2fba3ddc3cad7a75d195554	1.0	176.25	220.0	245.75	896.0	1.0	1.0	19.0	40.0	59.0	1.0	1.0	17.5	39.25	50.0
89fdfed0daa1852ef44dcff4d1090b31	1.0	26.5	43.0	76.75	1445.0	1.0	1.0	12.5	32.25	56.0	1.0	10.5	40.0	58.25	82.0
599a73cad76351bcc6176f64e183b643	1.0	1.0	19.5	41.0	319.0	1.0	16.75	106.5	185.75	328.0	1.0	10.5	85.5	265.5	327.0
473139e5c23478d7fa1eee1de4a463bd	1.0	1.0	18.5	637.5	924.0	1.0	1.0	1.0	7.75	81.0	1.0	1.0	1.0	1.0	41.0
1dce6e5679771edc6242d3190a2a433a	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1400.0	1.0	1.0	1.0	1.0	488.0
ca3be951d806a055b37f1725a3d30958	1.0	1.0	1.0	1.0	1816.0	1.0	1.0	1.0	1.0	37.0	1.0	1.0	1.0	1.0	23.0
33adecc4cc8f465664f444240fb5c9dc	1.0	1.0	1.0	125.5	1684.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
377cddcce2a6ba9947622b1d95864a13	1.0	1.0	4.0	131.5	445.0	1.0	1.0	60.5	183.0	548.0	1.0	1.0	51.5	115.5	134.0
dd5ce8d0b040693d540cb5aaf1b9fb3b	1.0	29.75	203.0	510.5	617.0	1.0	1.0	1.0	7.75	139.0	1.0	1.0	1.0	10.75	18.0
b8420c2e11cc062fd99e1155ddddb171	1.0	61.25	133.5	140.5	172.0	1.0	62.25	85.5	162.75	301.0	1.0	59.25	75.0	84.0	141.0
a417b7bc4c2c335a436ab6b177065e8d	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1362.0	1.0	1.0	1.0	1.0	386.0
9e640202e3a6276bc4fd5c6c6eb87c0d	1.0	1.0	1.0	1.0	22.0	1.0	1.0	1.0	1.0	735.0	1.0	1.0	1.0	1.0	985.0
8f16b9226a36bea8cfd37d863d749252	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1197.0	1.0	1.0	1.0	1.0	505.0
7c7bff3a07f18f77a5cea673188fceb4	1.0	1.0	1.0	1.0	59.0	1.0	1.0	1.0	180.25	629.0	1.0	1.0	1.0	77.5	662.0
ecffa450ca962e9afc4312cfdc8791b2	1.0	1.0	1.0	14.5	40.0	1.0	1.0	1.0	1.0	899.0	1.0	1.0	1.0	1.0	733.0
f2f49669e1e0744eac6a673253af0a08	19.0	42.75	85.5	218.25	277.0	1.0	13.5	22.0	79.25	357.0	1.0	19.5	26.0	88.0	236.0
ddbf23c8c5653d14479d9bf997ef7e1b	1.0	9.0	58.5	90.75	1252.0	1.0	1.0	1.0	33.25	128.0	1.0	1.0	1.0	1.0	24.0
c4bf908610bf22c42dd14993f138e24b	1.0	11.25	21.0	98.25	470.0	1.0	5.0	45.5	136.25	162.0	1.0	1.0	24.0	180.5	314.0
7640ed68ba08e76fcd8c961dea462ef0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	285.25	463.0	1.0	1.0	1.0	178.75	541.0
3dbdd872ed2139034d0eb7c896f6b6fd	1.0	1.0	93.5	426.75	922.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
72a75c4bf4dca90e4037f596ad740ddc	1.0	1.0	1.0	1.0	733.0	1.0	1.0	1.0	1.0	553.0	1.0	1.0	1.0	1.0	323.0
a8d9100f78d847cb09c360f730591afa	1.0	1.0	1.0	1.0	39.0	1.0	4.25	21.5	35.0	507.0	1.0	1.0	1.5	44.0	908.0
036ca3fa03f8d93a402ced6240a337fe	1.0	52.0	74.5	90.25	179.0	1.0	7.0	42.0	105.5	379.0	1.0	3.5	24.5	110.75	348.0
9e428cab604874258574343749d9032c	1.0	1.0	1.0	67.75	1265.0	1.0	1.0	1.0	5.5	81.0	1.0	1.0	1.0	1.0	121.0
cbbaae2df526368589dc3572f01d76a4	1.0	1.0	1.0	1.0	95.0	1.0	1.0	1.0	1.0	540.0	1.0	1.0	1.0	1.0	901.0
b291d5c47c13ff0cd41afbfe4bd6730b	1.0	1.0	1.0	1.0	98.0	1.0	1.0	1.0	61.75	127.0	1.0	1.0	1.0	160.0	1015.0
