Feature ID	W	Signif	Taxon	Consensus
4335db11e10c72d967cf7407169f904a	2	False	Unassigned	1.0
1a2fec0156f8efa7820fdee88182c617	2	False	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Citrobacter	1.0
9b89063216501cf8ae88b3dfcb04dfb6	2	False	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Anaerovoracaceae; g__[Eubacterium]_brachy_group; s__uncultured_bacterium	0.8
19a501dd9b960904e345af4c33929cde	2	False	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium; s__uncultured_bacterium	1.0
201e4db356cbd6f208d982aefd0c10fd	2	False	Unassigned	1.0
94a6a98967bd9f1f455b0a5425e7ac1b	2	False	Unassigned	1.0
c70f9ab6fb1a3938183b8ab50653d55b	2	False	Unassigned	1.0
9b740e8e047c98bb45cd4dc582c1a7f9	2	False	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	1.0
61749f28d7b0c6241961e12e406b6a5c	2	False	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Aggregatibacter; s__uncultured_bacterium	0.9
c72829bda83769a6705c924601240eaf	2	False	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia; s__uncultured_bacterium	0.9
fec14329e1c5a1e65ae124002b593095	2	False	d__Bacteria; p__Firmicutes; c__Bacilli; o__RF39; f__RF39; g__RF39; s__uncultured_bacterium	0.9
65b8a986b27c171e42e90baf2416893a	2	False	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Dialister; s__uncultured_bacterium	0.6
1e34eb3924a55e6fdbfd3ecaf0ec929b	2	False	d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae; g__uncultured; s__uncultured_bacterium	0.6
